provider_id,order_id,order_date,order_type
P_0001,O_0001_000,2024-01-01,cycle_6m
P_0001,O_0001_001,2025-06-16,cycle_9m
P_0002,O_0002_000,2024-08-22,cycle_3m
P_0002,O_0002_001,2024-03-15,cycle_6m
P_0003,O_0003_000,2025-08-15,cycle_6m
P_0004,O_0004_000,2024-08-04,cycle_3m
P_0004,O_0004_001,2024-06-13,cycle_3m
P_0005,O_0005_000,2024-10-27,cycle_3m
P_0005,O_0005_001,2024-05-03,cycle_3m
P_0006,O_0006_000,2024-12-05,cycle_3m
P_0006,O_0006_001,2024-07-03,cycle_3m
P_0007,O_0007_000,2024-07-06,cycle_9m
P_0007,O_0007_001,2025-09-17,cycle_3m
P_0008,O_0008_000,2024-01-08,cycle_3m
P_0008,O_0008_001,2024-04-13,cycle_3m
P_0009,O_0009_000,2024-08-14,cycle_6m
P_0010,O_0010_000,2024-12-27,cycle_3m
P_0010,O_0010_001,2025-04-06,cycle_9m
P_0011,O_0011_000,2024-11-08,cycle_9m
P_0011,O_0011_001,2024-06-19,cycle_3m
P_0012,O_0012_000,2024-02-29,cycle_3m
P_0012,O_0012_001,2024-12-29,cycle_3m
P_0013,O_0013_000,2024-10-24,cycle_3m
P_0013,O_0013_001,2024-04-09,cycle_3m
P_0014,O_0014_000,2024-09-19,cycle_6m
P_0015,O_0015_000,2025-01-09,cycle_3m
P_0015,O_0015_001,2024-04-08,cycle_9m
P_0016,O_0016_000,2024-02-14,cycle_3m
P_0016,O_0016_001,2024-07-12,cycle_6m
P_0017,O_0017_000,2025-03-02,cycle_9m
P_0018,O_0018_000,2025-01-31,cycle_6m
P_0018,O_0018_001,2024-07-30,cycle_6m
P_0019,O_0019_000,2024-01-02,cycle_9m
P_0020,O_0020_000,2025-04-04,cycle_9m
P_0020,O_0020_001,2025-09-18,cycle_3m
P_0021,O_0021_000,2025-04-19,cycle_9m
P_0022,O_0022_000,2025-05-17,cycle_3m
P_0023,O_0023_000,2024-05-13,cycle_6m
P_0024,O_0024_000,2024-07-30,cycle_3m
P_0024,O_0024_001,2025-08-08,cycle_6m
P_0025,O_0025_000,2025-08-01,cycle_6m
P_0026,O_0026_000,2024-05-31,cycle_6m
P_0027,O_0027_000,2025-08-22,cycle_6m
P_0027,O_0027_001,2025-07-29,cycle_9m
P_0028,O_0028_000,2024-03-20,cycle_3m
P_0028,O_0028_001,2024-07-16,cycle_3m
P_0029,O_0029_000,2025-02-07,cycle_3m
P_0030,O_0030_000,2024-12-13,cycle_3m
P_0031,O_0031_000,2025-02-01,cycle_3m
P_0031,O_0031_001,2025-06-22,cycle_9m
P_0032,O_0032_000,2025-05-11,cycle_6m
P_0033,O_0033_000,2025-07-23,cycle_3m
P_0034,O_0034_000,2024-01-01,cycle_3m
P_0034,O_0034_001,2024-07-22,cycle_3m
P_0035,O_0035_000,2025-06-12,cycle_3m
P_0035,O_0035_001,2025-02-06,cycle_3m
P_0036,O_0036_000,2025-05-24,cycle_9m
P_0036,O_0036_001,2024-12-03,cycle_3m
P_0037,O_0037_000,2024-12-05,cycle_6m
P_0037,O_0037_001,2025-01-08,cycle_3m
P_0038,O_0038_000,2025-02-04,cycle_6m
P_0038,O_0038_001,2025-06-30,cycle_9m
P_0039,O_0039_000,2024-09-12,cycle_6m
P_0040,O_0040_000,2025-04-08,cycle_6m
P_0040,O_0040_001,2025-04-18,cycle_9m
P_0041,O_0041_000,2025-06-23,cycle_6m
P_0042,O_0042_000,2025-04-05,cycle_9m
P_0043,O_0043_000,2024-10-20,cycle_9m
P_0043,O_0043_001,2024-12-19,cycle_3m
P_0044,O_0044_000,2024-05-02,cycle_9m
P_0044,O_0044_001,2025-07-15,cycle_3m
P_0045,O_0045_000,2025-08-13,cycle_9m
P_0046,O_0046_000,2024-11-01,cycle_6m
P_0046,O_0046_001,2025-04-16,cycle_3m
P_0047,O_0047_000,2024-05-31,cycle_6m
P_0047,O_0047_001,2024-08-18,cycle_6m
P_0048,O_0048_000,2024-02-10,cycle_9m
P_0048,O_0048_001,2024-10-18,cycle_3m
P_0049,O_0049_000,2025-05-01,cycle_6m
P_0050,O_0050_000,2025-09-07,cycle_3m
